child,parent
P01780,R-HSA-166663
P01780,R-HSA-173623
P01780,R-HSA-198933
P01780,R-HSA-202733
P01780,R-HSA-2029481
P01780,R-HSA-2029481
P01780,R-HSA-2029482
P01780,R-HSA-2029485
P01780,R-HSA-2168880
P01780,R-HSA-2454202
P01780,R-HSA-2454202
P01780,R-HSA-2730905
P01780,R-HSA-2730905
P01780,R-HSA-2871796
P01780,R-HSA-2871809
P01780,R-HSA-2871809
P01780,R-HSA-2871837
P01780,R-HSA-5690714
P01780,R-HSA-9664323
P01780,R-HSA-9664323
P01780,R-HSA-9664422
P01780,R-HSA-9664422
P01780,R-HSA-9679191
P01780,R-HSA-977606
P01780,R-HSA-983695
P01780,R-HSA-983695
P01825,R-HSA-166663
P01825,R-HSA-173623
P01825,R-HSA-198933
P01825,R-HSA-202733
P01825,R-HSA-2029481
P01825,R-HSA-2029481
P01825,R-HSA-2029482
P01825,R-HSA-2029485
P01825,R-HSA-2168880
P01825,R-HSA-2454202
P01825,R-HSA-2454202
P01825,R-HSA-2730905
P01825,R-HSA-2730905
P01825,R-HSA-2871796
P01825,R-HSA-2871809
P01825,R-HSA-2871809
P01825,R-HSA-2871837
P01825,R-HSA-5690714
P01825,R-HSA-9664323
P01825,R-HSA-9664323
P01825,R-HSA-9664422
P01825,R-HSA-9664422
P01825,R-HSA-9679191
P01825,R-HSA-977606
P01825,R-HSA-983695
P01825,R-HSA-983695
P01833,R-HSA-6798695
P01834,R-HSA-166663
P01834,R-HSA-173623
P01834,R-HSA-198933
P01834,R-HSA-202733
P01834,R-HSA-2029481
P01834,R-HSA-2029481
P01834,R-HSA-2029482
P01834,R-HSA-2029485
P01834,R-HSA-2168880
P01834,R-HSA-2454202
P01834,R-HSA-2454202
P01834,R-HSA-2730905
P01834,R-HSA-2730905
P01834,R-HSA-2871796
P01834,R-HSA-2871809
P01834,R-HSA-2871809
P01834,R-HSA-2871837
P01834,R-HSA-5690714
P01834,R-HSA-9664323
P01834,R-HSA-9664323
P01834,R-HSA-9664422
P01834,R-HSA-9664422
P01834,R-HSA-9679191
P01834,R-HSA-977606
P01834,R-HSA-983695
P01834,R-HSA-983695
P01854,R-HSA-2454202
P01854,R-HSA-2454202
P01854,R-HSA-2730905
P01854,R-HSA-2730905
P01854,R-HSA-2871796
P01854,R-HSA-2871809
P01854,R-HSA-2871809
P01854,R-HSA-2871837
P01854,R-HSA-6785807
P01857,R-HSA-166663
P01857,R-HSA-173623
P01857,R-HSA-2029481
P01857,R-HSA-2029481
P01857,R-HSA-2029482
P01857,R-HSA-2029485
P01857,R-HSA-6785807
P01857,R-HSA-9664323
P01857,R-HSA-9664323
P01857,R-HSA-9664422
P01857,R-HSA-9664422
P01857,R-HSA-977606
P01859,R-HSA-166663
P01859,R-HSA-173623
P01859,R-HSA-2029481
P01859,R-HSA-2029481
P01859,R-HSA-2029482
P01859,R-HSA-2029485
P01859,R-HSA-9664323
P01859,R-HSA-9664323
P01859,R-HSA-9664422
P01859,R-HSA-9664422
P01859,R-HSA-977606
P01860,R-HSA-166663
P01860,R-HSA-173623
P01860,R-HSA-2029481
P01860,R-HSA-2029481
P01860,R-HSA-2029482
P01860,R-HSA-2029485
P01860,R-HSA-9664323
P01860,R-HSA-9664323
P01860,R-HSA-9664422
P01860,R-HSA-9664422
P01860,R-HSA-977606
P01861,R-HSA-166663
P01861,R-HSA-173623
P01861,R-HSA-2029481
P01861,R-HSA-2029481
P01861,R-HSA-2029482
P01861,R-HSA-2029485
P01861,R-HSA-6785807
P01861,R-HSA-9664323
P01861,R-HSA-9664323
P01861,R-HSA-9664422
P01861,R-HSA-9664422
P01861,R-HSA-977606
P01871,R-HSA-202733
P01871,R-HSA-5690714
P01871,R-HSA-9679191
P01871,R-HSA-983695
P01871,R-HSA-983695
P01876,R-HSA-202733
P01876,R-HSA-2168880
P01877,R-HSA-202733
P01877,R-HSA-2168880
P01880,R-HSA-5690714
P01880,R-HSA-9679191
P01880,R-HSA-983695
P01880,R-HSA-983695
P01889,R-HSA-1236974
P01889,R-HSA-1236974
P01889,R-HSA-1236977
P01889,R-HSA-198933
P01889,R-HSA-6798695
P01889,R-HSA-877300
P01889,R-HSA-909733
P01889,R-HSA-9705671
P01889,R-HSA-983170
P01889,R-HSA-983170
P01891,R-HSA-1236974
P01891,R-HSA-1236974
